Base Pair	Mean Quality Score
0	31.202341466413916
1	31.45451217564973
2	35.090692283561424
3	35.895943598916034
4	36.04186307996915
5	39.643965381149584
6	39.82574919652643
7	39.73978988274046
8	40.02223718876502
9	40.078369556625425
10	40.12791626946115
11	40.12699798493393
12	40.082047479935
13	40.09393538561562
14	40.08076403042286
15	40.08009719464901
16	39.99606024495442
17	40.03186722458495
18	40.040500742360685
19	40.0332359274132
20	40.000713378622095
21	40.05872129686523
22	39.99378680061978
23	40.03242616762621
24	39.992841249477294
25	39.982165037870125
26	39.92059295769237
27	39.94679373721962
28	39.88869273328
29	39.92791966424504
30	39.83405237745248
31	39.89680091727783
32	39.87551124339332
33	39.917297331289056
34	39.9356078565953
35	39.92774414669511
36	39.915080406494674
37	39.88706452360099
38	39.903741873453924
39	39.89105122778544
40	39.87212099641783
41	39.860579814642094
42	39.8557889484526
43	39.8495792702578
44	39.76317685140205
45	39.80110767013048
46	39.81379682606667
47	39.809834251031
48	39.79838434921564
49	39.79608354797893
50	39.799583312849514
51	39.78902226206278
52	39.7090580598783
53	39.74451822531714
54	39.75673606155682
55	39.75130887653374
56	39.69767239712507
57	39.71302178607074
58	39.703558035974865
59	39.690963816614676
60	39.674251683769924
61	39.671564996726424
62	39.61854811052062
63	39.63444032631277
64	39.62111855330201
65	39.60834940325613
66	39.60319267235898
67	39.5915476833286
68	39.57481929885885
69	39.4773801080381
70	39.49767827479611
71	39.495580664015215
72	39.48707612094116
73	39.466449558499775
74	39.44847765385763
75	39.427000679995075
76	38.72799542390355
77	39.11709444780838
78	39.23137007383339
79	39.28173234738336
80	39.37259723674523
81	39.380238479956624
82	39.3561341600535
83	39.336583658331975
84	39.3176082609899
85	39.31162071090837
86	39.27341115423961
87	39.129512246750586
88	39.167932758540445
89	39.17186459091884
90	39.15406612723009
91	39.1136880394947
92	39.07561413875123
93	39.02124987997498
94	38.99679025892044
95	38.99698749044709
96	38.98345631976264
97	38.76013506635245
98	38.81889480282513
99	38.89310001597625
100	37.72612095696249
