Base Pair	Mean Quality Score
0	29.470852349427453
1	30.81725842219022
2	33.27962778451844
3	34.51595311424247
4	34.91530077401524
5	37.63150124250445
6	37.364444857356105
7	37.958238402400255
8	38.255235517420815
9	38.15152450851136
10	38.29769634118589
11	38.31010989664824
12	38.02976577661482
13	38.283695363108926
14	38.021548616442736
15	37.666581909927984
16	37.94579116995945
17	38.1190223645383
18	37.79387678045016
19	37.949959960058926
20	37.73652639843991
21	37.73290610068396
22	38.0792282292893
23	38.06859689022447
24	38.11948418154853
25	38.02631217087356
26	37.97453266533737
27	38.10380242430004
28	38.05343324380945
29	37.919476990204465
30	37.737372656668036
31	37.242164786872806
32	37.073214721751185
33	36.81952611074101
34	36.61244578333758
35	36.526608018163536
36	36.48396115843569
37	36.5070638590901
38	36.50411692032971
39	37.132330549384825
40	37.460322605590534
41	37.694242581957056
42	37.717356207314936
43	37.90498735736434
44	37.94788711043444
45	37.93610535946541
46	37.98679930159545
47	37.94571085984594
48	37.937860467249564
49	37.89360295862639
50	37.977530232423966
51	38.003387989805354
52	37.99542230095834
53	37.788862657562326
54	37.81667661401546
55	37.90122210414213
56	37.91123879320669
57	37.83146814336154
58	37.79614564272942
59	37.73288944276835
60	37.70612409984619
61	37.748177256112655
62	37.74966504723738
63	37.68036292677501
64	37.71617760335571
65	37.6486748086405
66	37.716699641665215
67	37.60860552435168
68	37.55271031735767
69	37.6024304937185
70	37.60050183212243
71	37.53028262343301
72	37.47246737723285
73	37.470791157545015
74	37.468328472066005
75	37.3422799206072
76	36.42644135323489
77	36.82604362179922
78	37.2482729601265
79	37.368632043392196
80	37.50038505065383
81	37.504623497023765
82	37.52581067281231
83	37.43887429778873
84	37.32732154124452
85	37.33643974116398
86	37.28002129956029
87	37.27490513001052
88	37.24797546510232
89	37.16544361902742
90	37.12747465412366
91	37.032392784079875
92	37.00024325522577
93	36.95450479470338
94	36.78008012141409
95	36.79343791886024
96	36.77662660595963
97	36.69866539398386
98	36.45715022067675
99	36.54056213738844
100	34.525374903545476
